index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
815;2.084,00;3;25;2
816;1.947,00;8;25;2
817;1.911,00;4;25;2
818;2.054,00;9;25;2
819;593,00;5;33;2
820;629,00;6;33;2
821;778,00;0;33;2
822;804,00;1;33;2
823;869,00;2;33;2
824;911,00;3;33;2
825;834,00;8;33;2
826;823,00;4;33;2
827;880,00;9;33;2
828;1.157,00;5;24;2
829;1.180,00;6;24;2
830;1.529,00;0;24;2
831;1.612,00;1;24;2
832;1.844,00;2;24;2
833;1.935,00;3;24;2
834;1.836,00;8;24;2
835;1.857,00;4;24;2
836;1.854,00;9;24;2
837;1.031,00;5;36;2
838;1.082,00;6;36;2
839;1.075,00;0;36;2
840;1.116,00;1;36;2
841;1.147,00;2;36;2
842;1.193,00;3;36;2
843;1.114,00;8;36;2
844;1.075,00;4;36;2
845;1.169,00;9;36;2
846;498,00;5;23;2
847;532,00;6;23;2
848;1.266,00;0;23;2
849;1.310,00;1;23;2
850;1.394,00;2;23;2
851;1.450,00;3;23;2
852;1.324,00;8;23;2
853;1.309,00;4;23;2
854;1.386,00;9;23;2
855;5.275,00;5;6;2
856;5.267,00;6;6;2
857;10.791,00;0;6;2
858;11.394,00;1;6;2
859;12.741,00;2;6;2
860;12.842,00;3;6;2
861;12.256,00;8;6;2
862;12.061,00;4;6;2
863;12.763,00;9;6;2
864;14.264,00;5;5;2
865;14.222,00;6;5;2
866;19.902,00;0;5;2
867;21.421,00;1;5;2
868;24.652,00;2;5;2
869;25.393,00;3;5;2
870;24.090,00;8;5;2
871;24.147,00;4;5;2
872;25.078,00;9;5;2
873;2.549,00;5;21;2
874;2.547,00;6;21;2
875;10.769,00;0;21;2
876;11.292,00;1;21;2
877;12.242,00;2;21;2
878;14.683,00;3;21;2
879;15.296,00;8;21;2
880;15.657,00;4;21;2
881;15.359,00;9;21;2
882;6.297,00;5;22;2
883;6.440,00;6;22;2
884;24.673,00;0;22;2
885;25.793,00;1;22;2
886;28.036,00;2;22;2
887;29.223,00;3;22;2
888;28.857,00;8;22;2
889;28.904,00;4;22;2
890;29.297,00;9;22;2
891;8.740,00;5;20;2
892;8.779,00;6;20;2
893;14.387,00;0;20;2
894;15.762,00;1;20;2
895;17.805,00;2;20;2
896;18.159,00;3;20;2
897;17.812,00;8;20;2
898;18.158,00;4;20;2
899;18.050,00;9;20;2
900;19.617,00;5;18;2
901;19.353,00;6;18;2
902;30.110,00;0;18;2
903;31.128,00;1;18;2
904;30.645,00;2;18;2
905;31.786,00;3;18;2
906;30.867,00;8;18;2
907;31.032,00;4;18;2
908;31.881,00;9;18;2
909;0,00;5;34;2
910;0,00;6;34;2
911;1,00;0;34;2
912;1,00;1;34;2
913;6,00;2;34;2
914;6,00;3;34;2
915;6,00;8;34;2
916;6,00;4;34;2
917;6,00;9;34;2
918;11.771,00;5;19;2
919;11.751,00;6;19;2
920;22.784,00;0;19;2
921;24.436,00;1;19;2
922;26.336,00;2;19;2
923;26.758,00;3;19;2
924;27.149,00;8;19;2
925;26.702,00;4;19;2
926;27.679,00;9;19;2
927;6.868,00;5;16;2
928;6.823,00;6;16;2
929;8.368,00;0;16;2
930;8.701,00;1;16;2
931;9.998,00;2;16;2
932;10.107,00;3;16;2
933;9.642,00;8;16;2
934;9.715,00;4;16;2
935;9.945,00;9;16;2
936;10.074,00;5;15;2
937;9.946,00;6;15;2
938;14.045,00;0;15;2
939;14.821,00;1;15;2
940;15.966,00;2;15;2
941;16.125,00;3;15;2
942;15.472,00;8;15;2
943;15.647,00;4;15;2
944;15.853,00;9;15;2
945;13.471,00;5;12;2
946;13.401,00;6;12;2
947;16.607,00;0;12;2
948;17.321,00;1;12;2
949;20.562,00;2;12;2
950;20.657,00;3;12;2
951;19.916,00;8;12;2
952;19.915,00;4;12;2
953;20.305,00;9;12;2
954;6.424,00;5;11;2
955;6.309,00;6;11;2
956;8.825,00;0;11;2
957;9.416,00;1;11;2
958;10.340,00;2;11;2
959;10.585,00;3;11;2
960;9.890,00;8;11;2
961;9.930,00;4;11;2
962;10.232,00;9;11;2
963;12.540,00;5;10;2
964;12.435,00;6;10;2
965;26.478,00;0;10;2
966;27.192,00;1;10;2
967;26.615,00;2;10;2
968;26.920,00;3;10;2
969;25.961,00;8;10;2
970;26.097,00;4;10;2
971;26.387,00;9;10;2
972;6.060,00;5;8;2
973;6.049,00;6;8;2
974;20.434,00;0;8;2
975;21.409,00;1;8;2
976;22.894,00;2;8;2
977;23.523,00;3;8;2
