index;Dato Numérico;fecha_key;ubicacion_key;causa_key;sexo_key
877;0,00;0;11;9;0
878;0,00;0;12;9;0
879;0,00;0;13;9;0
880;0,00;0;14;9;0
881;0,00;0;15;9;0
882;0,00;0;16;9;0
883;0,00;0;17;9;0
884;0,00;0;18;9;0
885;0,00;0;19;9;0
886;0,00;0;20;9;0
887;0,00;0;21;9;0
888;1,00;0;22;9;0
889;0,00;0;23;9;0
890;0,00;0;24;9;0
891;0,00;0;25;9;0
892;0,00;0;26;9;0
893;0,00;0;27;9;0
894;0,00;0;28;9;0
895;0,00;0;29;9;0
896;0,00;0;30;9;0
897;0,00;0;31;9;0
898;0,00;0;32;9;0
899;2,00;0;0;10;0
900;1,00;1;0;10;0
901;0,00;2;0;10;0
902;0,00;0;1;10;0
903;0,00;1;1;10;0
904;0,00;2;1;10;0
905;0,00;0;2;10;0
906;2,00;1;2;10;0
907;0,00;2;2;10;0
908;3,00;0;3;10;0
909;0,00;1;3;10;0
910;0,00;2;3;10;0
911;0,00;0;4;10;0
912;2,00;1;4;10;0
913;1,00;2;4;10;0
914;0,00;0;5;10;0
915;0,00;1;5;10;0
916;0,00;2;5;10;0
917;0,00;0;6;10;0
918;0,00;1;6;10;0
919;0,00;2;6;10;0
920;0,00;0;7;10;0
921;1,00;1;7;10;0
922;0,00;2;7;10;0
923;0,00;0;8;10;0
924;2,00;1;8;10;0
925;0,00;2;8;10;0
926;0,00;0;9;10;0
927;0,00;1;9;10;0
928;0,00;2;9;10;0
929;0,00;0;10;10;0
930;0,00;1;10;10;0
931;0,00;2;10;10;0
932;0,00;0;11;10;0
933;0,00;1;11;10;0
934;0,00;2;11;10;0
935;0,00;0;12;10;0
936;0,00;1;12;10;0
937;0,00;2;12;10;0
938;0,00;0;13;10;0
939;0,00;1;13;10;0
940;1,00;2;13;10;0
941;0,00;0;14;10;0
942;0,00;0;15;10;0
943;0,00;1;15;10;0
944;0,00;2;15;10;0
945;0,00;0;16;10;0
946;0,00;1;16;10;0
947;0,00;2;16;10;0
948;0,00;0;17;10;0
949;2,00;1;17;10;0
950;0,00;2;17;10;0
951;1,00;0;18;10;0
952;0,00;1;18;10;0
953;0,00;2;18;10;0
954;1,00;0;19;10;0
955;0,00;1;19;10;0
956;1,00;2;19;10;0
957;0,00;0;20;10;0
958;0,00;1;20;10;0
959;0,00;2;20;10;0
960;0,00;0;21;10;0
961;0,00;1;21;10;0
962;0,00;2;21;10;0
963;0,00;0;22;10;0
964;1,00;1;22;10;0
965;0,00;2;22;10;0
966;0,00;0;23;10;0
967;0,00;1;23;10;0
968;0,00;2;23;10;0
969;0,00;0;24;10;0
970;0,00;1;24;10;0
971;0,00;2;24;10;0
972;0,00;0;25;10;0
973;0,00;1;25;10;0
974;0,00;2;25;10;0
975;0,00;0;26;10;0
976;0,00;1;26;10;0
977;0,00;2;26;10;0
978;0,00;0;27;10;0
979;0,00;1;27;10;0
980;0,00;2;27;10;0
981;0,00;0;28;10;0
